CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS,LOGRADOURO_ATUALIZADO,COMPLEMENTO,UNIDADE,BAIRRO_ATUALIZADO,CIDADE,UF,ESTADO,REGIAO,DDD
19,2602900000019,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,POLICLINICA DR JAMACI DE MEDEIROS,,,M,,,,,4,4,54580530,RUA 21 DE ABRIL,S/N,PONTE DOS CARVALHOS,(81)35221848,"-8,23166","-34,9695991",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA SÃO CARLOS,(LOT B SUCESSO),,PONTE DOS CARVALHOS,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
27,2602900000027,26,260290,10930451000181.0,CASA DE SAUDE E MATERNIDADE SANTA HELENA LTDA,CASA DE SAUDE SANTA HELENA,,,M,,,,,4,5,54505560,AVN PRESIDENTE GETULIO VARGAS,428,CENTRO,(81)35210355,"-8,287","-35,035",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10930451001153.0,,2062,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
35,2602900000035,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,HOSPITAL MENDO SAMPAIO,,,M,,,,,4,5,54535430,BR 101 SUL KM 33,S/N,CHARNECA,(81)35210857,"-8,287","-35,035",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",11294402000243.0,,1244,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,RODOVIA BR-101 SUL,"DO KM 103,010 AO KM 107,000",,VILA TEATRÓLOGO BARRETO JÚNIOR,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
43,2602900000043,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,POLICLINICA DR MANUEL GOMES,,,M,,,,,4,4,54510360,AV HISTORIADOR PEREIRA COSTA,S/N,CENTRO,(81)35216723,"-8,28765","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA HISTORIADOR PEREIRA DA COSTA,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
51,2602900000051,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,POLICLINICA VICENTE MENDES,,,M,,,,,4,4,54520250,RUA QUARENTA E HUM,S/N,COHAB,(81)35216727,"-8,2953373499","-35,0322723132",4.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA SARGENTO GIVALDO JOSÉ DE LIMA,,,COHAB,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
78,2602900000078,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,CENTRO HERBERT DE SOUZA,,,M,,,,,4,36,54510360,AV HISTORIADOR PEREIRA DA COSTA,428,CENTRO,(81)35210974,"-8,287","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","0,0","0,0",,SIM,AVENIDA HISTORIADOR PEREIRA DA COSTA,,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
86,2602900000086,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,CENTRO DE SAUDE DE REFERENCIA DA MULHER I,,,M,,,,,4,36,54515503,RUA PREFEITO JOSE ALBERTO LIMA,17,JARDIM SANTO INACIO,(81)35246439,"-8,28301","-35,035",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA PREFEITO JOSÉ ALBERTO DE LIMA,,,SANTO INÁCIO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
94,2602900000094,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,MATERNIDADE PADRE GERALDO LEITE BASTOS,,,M,,,,,4,7,54510000,BR 101 SUL KM 23,S/N,PONTE DOS CARVALHOS,(81)35221626,"-8,287","-35,035",6.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,"1,0","1,0","1,0","1,0","1,0","1,0",,SIM,RODOVIA BR-101 SUL,"DO KM 96,001 AO KM 101,011 - LADO",,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
108,2602900000108,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF ALTO DOS INDIOS,,,M,,,,,4,2,54505560,RUA 17,80,PONTE DOS CARVALHOS,(81)35222709,"-8,2327942231","-34,9900038173",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,AVENIDA PRESIDENTE GETÚLIO VARGAS,DE 380/381 AO FIM,,CENTRO,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
116,2602900000116,26,260290,11294402000162.0,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,USF CHARNECA II,,,M,,,,,4,2,54535020,RUA 02,07,CHARNECA,(81)35249253,"-8,292734","-35,0334223",3.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,1244,"0,0","0,0","0,0","0,0","1,0","0,0",,SIM,RUA SETE,(CHARNECA),,VILA TEATRÓLOGO BARRETO JÚNIOR,CABO DE SANTO AGOSTINHO,PE,PERNAMBUCO,NORDESTE,81
